x;y;z;u;v;nx;ny;nz;tx;ty;tz;bx;by;bz;column;row
-1001.6303;1730.8073;1916.9220;0.1034;0.0526;0.5020;-0.8649;-0.0001;0.8648;0.5019;-0.0137;0.0119;0.0068;0.9999;3;1
-926.9832;1772.0784;1915.7922;0.1379;0.0526;0.4651;-0.8852;-0.0001;0.8852;0.4651;-0.0127;0.0113;0.0059;0.9999;4;1
-849.2536;1810.7984;1914.7310;0.1724;0.0526;0.4261;-0.9047;-0.0001;0.9046;0.4261;-0.0117;0.0106;0.0049;0.9999;5;1
-768.5859;1846.6242;1913.7483;0.2069;0.0526;0.3852;-0.9228;-0.0001;0.9228;0.3852;-0.0106;0.0098;0.0040;0.9999;6;1
-685.1693;1879.2472;1912.8526;0.2414;0.0526;0.3429;-0.9394;-0.0000;0.9393;0.3428;-0.0094;0.0089;0.0032;1.0000;7;1
-599.2328;1908.3928;1912.0520;0.2759;0.0526;0.2992;-0.9542;-0.0000;0.9541;0.2992;-0.0082;0.0079;0.0024;1.0000;8;1
-511.0412;1933.8209;1911.3530;0.3103;0.0526;0.2546;-0.9670;-0.0000;0.9670;0.2546;-0.0070;0.0068;0.0018;1.0000;9;1
-420.8894;1955.3257;1910.7617;0.3448;0.0526;0.2093;-0.9779;-0.0000;0.9778;0.2093;-0.0058;0.0056;0.0012;1.0000;10;1
-329.0986;1972.7354;1910.2828;0.3793;0.0526;0.1633;-0.9866;-0.0000;0.9866;0.1633;-0.0045;0.0044;0.0007;1.0000;11;1
-236.0110;1985.9130;1909.9202;0.4138;0.0526;0.1169;-0.9931;0.0000;0.9931;0.1169;-0.0032;0.0032;0.0004;1.0000;12;1
-141.9852;1994.7553;1909.6768;0.4483;0.0526;0.0703;-0.9975;0.0000;0.9975;0.0703;-0.0019;0.0019;0.0001;1.0000;13;1
-47.3919;1999.1939;1909.5547;0.4828;0.0526;0.0234;-0.9997;0.0000;0.9997;0.0234;-0.0006;0.0006;0.0000;1.0000;14;1
47.3914;1999.1943;1909.5546;0.5172;0.0526;-0.0234;-0.9997;0.0000;0.9997;-0.0234;0.0006;-0.0006;0.0000;1.0000;15;1
141.9847;1994.7565;1909.6768;0.5517;0.0526;-0.0703;-0.9975;0.0000;0.9975;-0.0703;0.0019;-0.0019;0.0001;1.0000;16;1
236.0106;1985.9148;1909.9201;0.5862;0.0526;-0.1169;-0.9931;0.0000;0.9931;-0.1169;0.0032;-0.0032;0.0004;1.0000;17;1
329.0984;1972.7377;1910.2827;0.6207;0.0526;-0.1633;-0.9866;-0.0000;0.9866;-0.1633;0.0045;-0.0044;0.0007;1.0000;18;1
420.8895;1955.3283;1910.7615;0.6552;0.0526;-0.2093;-0.9779;-0.0000;0.9778;-0.2093;0.0058;-0.0056;0.0012;1.0000;19;1
