x;y;z;u;v;nx;ny;nz;tx;ty;tz;bx;by;bz;column;row
615.0175;1903.4126;2000.0282;0.0000;0.0000;-0.3158;-0.9488;-0.0000;0.9488;-0.3158;-0.0005;0.0005;-0.0002;1.0000;0;0
690.5345;1876.8520;1999.9972;0.0345;0.0000;-0.3485;-0.9373;-0.0001;0.9373;-0.3485;-0.0003;0.0002;-0.0001;1.0000;1;0
766.7532;1846.8899;1999.9834;0.0690;0.0000;-0.3837;-0.9234;-0.0001;0.9234;-0.3837;-0.0001;0.0001;-0.0001;1.0000;2;0
843.3378;1813.2645;1999.9811;0.1034;0.0000;-0.4206;-0.9072;-0.0001;0.9072;-0.4206;0.0000;-0.0001;-0.0001;1.0000;3;0
919.9430;1775.7800;1999.9858;0.1379;0.0000;-0.4586;-0.8887;-0.0001;0.8887;-0.4586;0.0001;-0.0001;-0.0000;1.0000;4;0
996.2173;1734.3034;1999.9940;0.1724;0.0000;-0.4969;-0.8678;-0.0001;0.8678;-0.4969;0.0001;-0.0001;-0.0000;1.0000;5;0
1071.8054;1688.7601;2000.0030;0.2069;0.0000;-0.5352;-0.8447;-0.0001;0.8447;-0.5352;0.0001;-0.0001;-0.0000;1.0000;6;0
1146.3520;1639.1307;2000.0109;0.2414;0.0000;-0.5730;-0.8196;-0.0001;0.8196;-0.5730;0.0001;-0.0001;-0.0000;1.0000;7;0
1219.5043;1585.4469;2000.0164;0.2759;0.0000;-0.6101;-0.7924;-0.0001;0.7924;-0.6101;0.0000;-0.0001;-0.0000;1.0000;8;0
1290.9153;1527.7885;2000.0190;0.3103;0.0000;-0.6461;-0.7633;-0.0001;0.7633;-0.6461;0.0000;-0.0000;-0.0000;1.0000;9;0
1360.2469;1466.2788;2000.0184;0.3448;0.0000;-0.6809;-0.7324;-0.0000;0.7324;-0.6809;-0.0000;-0.0000;-0.0001;1.0000;10;0
1427.1727;1401.0816;2000.0150;0.3793;0.0000;-0.7143;-0.6998;-0.0000;0.6998;-0.7143;-0.0000;0.0000;-0.0001;1.0000;11;0
1491.3814;1332.3972;2000.0093;0.4138;0.0000;-0.7463;-0.6656;-0.0000;0.6656;-0.7463;-0.0001;0.0000;-0.0001;1.0000;12;0
1552.5796;1260.4588;2000.0022;0.4483;0.0000;-0.7767;-0.6299;-0.0000;0.6299;-0.7767;-0.0001;0.0000;-0.0001;1.0000;13;0
1610.4948;1185.5289;1999.9947;0.4828;0.0000;-0.8053;-0.5928;-0.0000;0.5928;-0.8053;-0.0001;0.0000;-0.0001;1.0000;14;0
1664.8788;1107.8953;1999.9877;0.5172;0.0000;-0.8323;-0.5544;-0.0000;0.5544;-0.8323;-0.0001;0.0000;-0.0001;1.0000;15;0
1715.5104;1027.8677;1999.9823;0.5517;0.0000;-0.8574;-0.5147;-0.0000;0.5147;-0.8574;-0.0000;-0.0000;-0.0001;1.0000;16;0
1762.1987;945.7740;1999.9793;0.5862;0.0000;-0.8806;-0.4738;-0.0000;0.4738;-0.8806;-0.0000;-0.0000;-0.0000;1.0000;17;0
1804.7858;861.9564;1999.9794;0.6207;0.0000;-0.9019;-0.4319;-0.0001;0.4319;-0.9019;0.0000;-0.0001;-0.0000;1.0000;18;0
1843.1504;776.7679;1999.9829;0.6552;0.0000;-0.9212;-0.3891;-0.0001;0.3891;-0.9212;0.0001;-0.0001;0.0000;1.0000;19;0
1877.2104;690.5684;1999.9897;0.6897;0.0000;-0.9384;-0.3457;-0.0001;0.3457;-0.9384;0.0001;-0.0001;0.0001;1.0000;20;0
1906.9260;603.7213;1999.9993;0.7241;0.0000;-0.9534;-0.3017;-0.0001;0.3017;-0.9534;0.0001;-0.0001;0.0001;1.0000;21;0
1932.3030;516.5896;2000.0105;0.7586;0.0000;-0.9663;-0.2575;-0.0001;0.2575;-0.9663;0.0001;-0.0001;0.0001;1.0000;22;0
1953.3957;429.5324;2000.0215;0.7931;0.0000;-0.9769;-0.2135;-0.0001;0.2135;-0.9769;0.0001;-0.0001;0.0001;1.0000;23;0
1970.3100;342.9008;2000.0298;0.8276;0.0000;-0.9855;-0.1700;-0.0001;0.1700;-0.9855;0.0001;-0.0001;0.0000;1.0000;24;0
1983.2063;257.0346;2000.0319;0.8621;0.0000;-0.9918;-0.1274;-0.0001;0.1274;-0.9918;-0.0000;-0.0001;-0.0000;1.0000;25;0
1992.3028;172.2586;2000.0235;0.8966;0.0000;-0.9963;-0.0864;-0.0001;0.0864;-0.9963;-0.0002;-0.0001;-0.0002;1.0000;26;0
1997.8782;88.8786;1999.9992;0.9310;0.0000;-0.9989;-0.0477;-0.0001;0.0477;-0.9989;-0.0004;-0.0001;-0.0004;1.0000;27;0
2000.2752;7.1781;1999.9525;0.9655;0.0000;-0.9999;-0.0119;-0.0001;0.0119;-0.9999;-0.0008;-0.0001;-0.0008;1.0000;28;0
1999.9034;-72.5858;1999.8757;1.0000;0.0000;-0.9998;0.0201;-0.0000;-0.0201;-0.9998;-0.0012;-0.0001;-0.0012;1.0000;29;0
615.0189;1903.4118;1920.6492;0.0000;0.0526;-0.3158;-0.9488;0.0000;0.9487;-0.3158;-0.0168;0.0160;-0.0053;0.9999;0;1
690.5377;1876.8531;1919.3435;0.0345;0.0526;-0.3485;-0.9373;-0.0000;0.9372;-0.3484;-0.0158;0.0148;-0.0055;0.9999;1;1
766.7574;1846.8922;1918.0909;0.0690;0.0526;-0.3837;-0.9235;-0.0000;0.9234;-0.3837;-0.0148;0.0136;-0.0057;0.9999;2;1
843.3425;1813.2674;1916.8979;0.1034;0.0526;-0.4206;-0.9072;-0.0000;0.9071;-0.4206;-0.0137;0.0124;-0.0058;0.9999;3;1
919.9478;1775.7833;1915.7715;0.1379;0.0526;-0.4586;-0.8887;-0.0000;0.8886;-0.4585;-0.0127;0.0112;-0.0058;0.9999;4;1
996.2218;1734.3066;1914.7184;0.1724;0.0526;-0.4969;-0.8678;-0.0000;0.8677;-0.4969;-0.0116;0.0100;-0.0058;0.9999;5;1
1071.8095;1688.7631;1913.7454;0.2069;0.0526;-0.5352;-0.8447;-0.0000;0.8447;-0.5352;-0.0105;0.0088;-0.0056;0.9999;6;1
1146.3555;1639.1333;1912.8591;0.2414;0.0526;-0.5730;-0.8195;-0.0000;0.8195;-0.5730;-0.0093;0.0076;-0.0054;1.0000;7;1
1219.5071;1585.4491;1912.0657;0.2759;0.0526;-0.6101;-0.7924;-0.0000;0.7923;-0.6100;-0.0082;0.0065;-0.0050;1.0000;8;1
