x;y;z;u;v;nx;ny;nz;tx;ty;tz;bx;by;bz;column;row
-1999.8984;-72.5965;1999.8804;0.0000;0.0000;0.9998;0.0201;-0.0000;-0.0201;0.9998;0.0012;0.0001;-0.0012;1.0000;0;0
-2000.2704;7.1727;1999.9558;0.0345;0.0000;0.9999;-0.0118;-0.0001;0.0118;0.9999;0.0007;0.0001;-0.0007;1.0000;1;0
-1997.8738;88.8767;2000.0014;0.0690;0.0000;0.9989;-0.0476;-0.0001;0.0476;0.9989;0.0004;0.0001;-0.0004;1.0000;2;0
-1992.2990;172.2587;2000.0250;0.1034;0.0000;0.9963;-0.0864;-0.0001;0.0864;0.9963;0.0002;0.0001;-0.0002;1.0000;3;0
-1983.2034;257.0358;2000.0330;0.1379;0.0000;0.9919;-0.1274;-0.0001;0.1274;0.9919;0.0000;0.0001;-0.0000;1.0000;4;0
-1970.3079;342.9022;2000.0306;0.1724;0.0000;0.9855;-0.1699;-0.0001;0.1699;0.9855;-0.0001;0.0001;0.0000;1.0000;5;0
-1953.3944;429.5336;2000.0222;0.2069;0.0000;0.9769;-0.2135;-0.0001;0.2135;0.9769;-0.0001;0.0001;0.0001;1.0000;6;0
-1932.3024;516.5904;2000.0110;0.2414;0.0000;0.9663;-0.2575;-0.0001;0.2575;0.9663;-0.0001;0.0001;0.0001;1.0000;7;0
-1906.9260;603.7214;1999.9998;0.2759;0.0000;0.9534;-0.3017;-0.0001;0.3017;0.9534;-0.0001;0.0001;0.0001;1.0000;8;0
-1877.2109;690.5679;1999.9902;0.3103;0.0000;0.9384;-0.3457;-0.0001;0.3457;0.9384;-0.0001;0.0001;0.0001;1.0000;9;0
-1843.1514;776.7669;1999.9834;0.3448;0.0000;0.9212;-0.3891;-0.0001;0.3891;0.9212;-0.0001;0.0001;0.0000;1.0000;10;0
-1804.7870;861.9550;1999.9798;0.3793;0.0000;0.9019;-0.4319;-0.0001;0.4319;0.9019;-0.0000;0.0001;-0.0000;1.0000;11;0
-1762.2000;945.7724;1999.9797;0.4138;0.0000;0.8806;-0.4738;-0.0000;0.4738;0.8806;0.0000;0.0000;-0.0000;1.0000;12;0
-1715.5117;1027.8661;1999.9825;0.4483;0.0000;0.8574;-0.5147;-0.0000;0.5147;0.8574;0.0000;0.0000;-0.0001;1.0000;13;0
-1664.8799;1107.8938;1999.9878;0.4828;0.0000;0.8323;-0.5544;-0.0000;0.5544;0.8323;0.0001;-0.0000;-0.0001;1.0000;14;0
-1610.4956;1185.5276;1999.9946;0.5172;0.0000;0.8053;-0.5928;-0.0000;0.5928;0.8053;0.0001;-0.0000;-0.0001;1.0000;15;0
-1552.5800;1260.4578;2000.0020;0.5517;0.0000;0.7767;-0.6299;-0.0000;0.6299;0.7767;0.0001;-0.0000;-0.0001;1.0000;16;0
-1491.3814;1332.3964;2000.0090;0.5862;0.0000;0.7463;-0.6656;-0.0000;0.6656;0.7463;0.0001;-0.0000;-0.0001;1.0000;17;0
