x;y;z;u;v;column;row
615.0175;1903.4126;2000.0282;0.0000;0.0000;0;0
690.5345;1876.8520;1999.9972;0.0345;0.0000;1;0
766.7532;1846.8899;1999.9834;0.0690;0.0000;2;0
843.3378;1813.2645;1999.9811;0.1034;0.0000;3;0
919.9430;1775.7800;1999.9858;0.1379;0.0000;4;0
996.2173;1734.3034;1999.9940;0.1724;0.0000;5;0
1071.8054;1688.7601;2000.0030;0.2069;0.0000;6;0
1146.3520;1639.1307;2000.0109;0.2414;0.0000;7;0
1219.5043;1585.4469;2000.0164;0.2759;0.0000;8;0
1290.9153;1527.7885;2000.0190;0.3103;0.0000;9;0
1360.2469;1466.2788;2000.0184;0.3448;0.0000;10;0
1427.1727;1401.0816;2000.0150;0.3793;0.0000;11;0
1491.3814;1332.3972;2000.0093;0.4138;0.0000;12;0
1552.5796;1260.4588;2000.0022;0.4483;0.0000;13;0
1610.4948;1185.5289;1999.9947;0.4828;0.0000;14;0
1664.8788;1107.8953;1999.9877;0.5172;0.0000;15;0
1715.5104;1027.8677;1999.9823;0.5517;0.0000;16;0
1762.1987;945.7740;1999.9793;0.5862;0.0000;17;0
1804.7858;861.9564;1999.9794;0.6207;0.0000;18;0
1843.1504;776.7679;1999.9829;0.6552;0.0000;19;0
1877.2104;690.5684;1999.9897;0.6897;0.0000;20;0
1906.9260;603.7213;1999.9993;0.7241;0.0000;21;0
1932.3030;516.5896;2000.0105;0.7586;0.0000;22;0
1953.3957;429.5324;2000.0215;0.7931;0.0000;23;0
1970.3100;342.9008;2000.0298;0.8276;0.0000;24;0
1983.2063;257.0346;2000.0319;0.8621;0.0000;25;0
1992.3028;172.2586;2000.0235;0.8966;0.0000;26;0
1997.8782;88.8786;1999.9992;0.9310;0.0000;27;0
2000.2752;7.1781;1999.9525;0.9655;0.0000;28;0
1999.9034;-72.5858;1999.8757;1.0000;0.0000;29;0
615.0189;1903.4118;1920.6492;0.0000;0.0526;0;1
690.5377;1876.8531;1919.3435;0.0345;0.0526;1;1
766.7574;1846.8922;1918.0909;0.0690;0.0526;2;1
843.3425;1813.2674;1916.8979;0.1034;0.0526;3;1
919.9478;1775.7833;1915.7715;0.1379;0.0526;4;1
996.2218;1734.3066;1914.7184;0.1724;0.0526;5;1
1071.8095;1688.7631;1913.7454;0.2069;0.0526;6;1
1146.3555;1639.1333;1912.8591;0.2414;0.0526;7;1
1219.5071;1585.4491;1912.0657;0.2759;0.0526;8;1
1290.9174;1527.7901;1911.3712;0.3103;0.0526;9;1
1360.2483;1466.2800;1910.7811;0.3448;0.0526;10;1
1427.1736;1401.0824;1910.3005;0.3793;0.0526;11;1
1491.3819;1332.3977;1909.9337;0.4138;0.0526;12;1
1552.5799;1260.4592;1909.6842;0.4483;0.0526;13;1
1610.4950;1185.5293;1909.5551;0.4828;0.0526;14;1
1664.8792;1107.8958;1909.5482;0.5172;0.0526;15;1
1715.5111;1027.8686;1909.6645;0.5517;0.0526;16;1
1762.1998;945.7753;1909.9039;0.5862;0.0526;17;1
1804.7875;861.9583;1910.2652;0.6207;0.0526;18;1
1843.1528;776.7704;1910.7458;0.6552;0.0526;19;1
1877.2135;690.5716;1911.3419;0.6897;0.0526;20;1
1906.9299;603.7253;1912.0482;0.7241;0.0526;21;1
1932.3076;516.5944;1912.8579;0.7586;0.0526;22;1
1953.4009;429.5378;1913.7626;0.7931;0.0526;23;1
1970.3156;342.9066;1914.7521;0.8276;0.0526;24;1
1983.2119;257.0407;1915.8145;0.8621;0.0526;25;1
1992.3080;172.2646;1916.9360;0.8966;0.0526;26;1
1997.8825;88.8841;1918.1009;0.9310;0.0526;27;1
2000.2780;7.1826;1919.2913;0.9655;0.0526;28;1
1999.9039;-72.5829;1920.4871;1.0000;0.0526;29;1
615.0170;1903.4092;1841.2724;0.0000;0.1053;0;2
690.5376;1876.8523;1838.6918;0.0345;0.1053;1;2
766.7585;1846.8926;1836.2002;0.0690;0.1053;2;2
843.3442;1813.2685;1833.8166;0.1034;0.1053;3;2
919.9498;1775.7847;1831.5589;0.1379;0.1053;4;2
996.2236;1734.3080;1829.4445;0.1724;0.1053;5;2
1071.8109;1688.7642;1827.4894;0.2069;0.1053;6;2
1146.3564;1639.1340;1825.7088;0.2414;0.1053;7;2
1219.5074;1585.4493;1824.1165;0.2759;0.1053;8;2
1290.9171;1527.7899;1822.7250;0.3103;0.1053;9;2
1360.2474;1466.2792;1821.5455;0.3448;0.1053;10;2
1427.1722;1401.0812;1820.5877;0.3793;0.1053;11;2
1491.3802;1332.3962;1819.8597;0.4138;0.1053;12;2
1552.5778;1260.4575;1819.3680;0.4483;0.1053;13;2
1610.4929;1185.5275;1819.1173;0.4828;0.1053;14;2
1664.8771;1107.8941;1819.1105;0.5172;0.1053;15;2
1715.5093;1027.8670;1819.3486;0.5517;0.1053;16;2
1762.1984;945.7741;1819.8305;0.5862;0.1053;17;2
1804.7866;861.9575;1820.5530;0.6207;0.1053;18;2
1843.1525;776.7702;1821.5109;0.6552;0.1053;19;2
1877.2139;690.5720;1822.6964;0.6897;0.1053;20;2
1906.9309;603.7263;1824.0995;0.7241;0.1053;21;2
1932.3092;516.5959;1825.7078;0.7586;0.1053;22;2
1953.4029;429.5397;1827.5063;0.7931;0.1053;23;2
1970.3178;342.9089;1829.4771;0.8276;0.1053;24;2
1983.2140;257.0429;1831.5999;0.8621;0.1053;25;2
1992.3095;172.2665;1833.8515;0.8966;0.1053;26;2
1997.8830;88.8853;1836.2057;0.9310;0.1053;27;2
2000.2767;7.1824;1838.6332;0.9655;0.1053;28;2
1999.9000;-72.5851;1841.1019;1.0000;0.1053;29;2
615.0134;1903.4058;1761.8967;0.0000;0.1579;0;3
690.5360;1876.8507;1758.0411;0.0345;0.1579;1;3
766.7582;1846.8923;1754.3104;0.0690;0.1579;2;3
843.3447;1813.2689;1750.7359;0.1034;0.1579;3;3
919.9506;1775.7854;1747.3469;0.1379;0.1579;4;3
996.2244;1734.3088;1744.1711;0.1724;0.1579;5;3
1071.8114;1688.7647;1741.2339;0.2069;0.1579;6;3
1146.3563;1639.1341;1738.5590;0.2414;0.1579;7;3
1219.5068;1585.4490;1736.1677;0.2759;0.1579;8;3
1290.9159;1527.7890;1734.0792;0.3103;0.1579;9;3
1360.2457;1466.2778;1732.3103;0.3448;0.1579;10;3
1427.1700;1401.0794;1730.8753;0.3793;0.1579;11;3
1491.3776;1332.3940;1729.7862;0.4138;0.1579;12;3
1552.5750;1260.4550;1729.0523;0.4483;0.1579;13;3
1610.4900;1185.5249;1728.6801;0.4828;0.1579;14;3
1664.8743;1107.8915;1728.6735;0.5172;0.1579;15;3
1715.5067;1027.8646;1729.0334;0.5517;0.1579;16;3
1762.1961;945.7720;1729.7579;0.5862;0.1579;17;3
1804.7848;861.9558;1730.8418;0.6207;0.1579;18;3
1843.1513;776.7688;1732.2769;0.6552;0.1579;19;3
1877.2132;690.5712;1734.0519;0.6897;0.1579;20;3
1906.9307;603.7259;1736.1520;0.7241;0.1579;21;3
1932.3095;516.5959;1738.5590;0.7586;0.1579;22;3
1953.4036;429.5401;1741.2512;0.7931;0.1579;23;3
1970.3185;342.9093;1744.2035;0.8276;0.1579;24;3
1983.2144;257.0432;1747.3868;0.8621;0.1579;25;3
1992.3092;172.2662;1750.7685;0.8966;0.1579;26;3
