x;y;z;u;v;column;row
-420.8895;1955.3212;1732.2922;0.3448;0.1579;10;3
-329.0987;1972.7292;1730.8599;0.3793;0.1579;11;3
-236.0111;1985.9053;1729.7757;0.4138;0.1579;12;3
-141.9853;1994.7467;1729.0482;0.4483;0.1579;13;3
-47.3920;1999.1848;1728.6830;0.4828;0.1579;14;3
47.3914;1999.1852;1728.6830;0.5172;0.1579;15;3
141.9848;1994.7479;1729.0482;0.5517;0.1579;16;3
236.0107;1985.9071;1729.7758;0.5862;0.1579;17;3
329.0985;1972.7315;1730.8600;0.6207;0.1579;18;3
420.8896;1955.3238;1732.2923;0.6552;0.1579;19;3
511.0417;1933.8211;1734.0615;0.6897;0.1579;20;3
599.2336;1908.3949;1736.1533;0.7241;0.1579;21;3
685.1703;1879.2508;1738.5507;0.7586;0.1579;22;3
768.5871;1846.6289;1741.2339;0.7931;0.1579;23;3
849.2549;1810.8034;1744.1802;0.8276;0.1579;24;3
926.9844;1772.0829;1747.3640;0.8621;0.1579;25;3
1001.6312;1730.8104;1750.7570;0.8966;0.1579;26;3
1073.1003;1687.3631;1754.3280;0.9310;0.1579;27;3
1141.3508;1642.1523;1758.0431;0.9655;0.1579;28;3
1206.4008;1595.6241;1761.8652;1.0000;0.1579;29;3
-1206.4016;1595.6157;1682.4936;0.0000;0.2105;0;4
-1141.3508;1642.1484;1677.3943;0.0345;0.2105;1;4
-1073.0997;1687.3617;1672.4387;0.0690;0.2105;2;4
-1001.6303;1730.8102;1667.6759;0.1034;0.2105;3;4
-926.9834;1772.0828;1663.1511;0.1379;0.2105;4;4
-849.2539;1810.8027;1658.9058;0.1724;0.2105;5;4
-768.5863;1846.6272;1654.9776;0.2069;0.2105;6;4
-685.1697;1879.2480;1651.4004;0.2414;0.2105;7;4
-599.2333;1908.3909;1648.2045;0.2759;0.2105;8;4
-511.0416;1933.8161;1645.4161;0.3103;0.2105;9;4
-420.8898;1955.3181;1643.0580;0.3448;0.2105;10;4
-329.0989;1972.7253;1641.1488;0.3793;0.2105;11;4
