x;y;z;u;v;column;row
-1999.8984;-72.5965;1999.8804;0.0000;0.0000;0;0
-2000.2704;7.1727;1999.9558;0.0345;0.0000;1;0
-1997.8738;88.8767;2000.0014;0.0690;0.0000;2;0
-1992.2990;172.2587;2000.0250;0.1034;0.0000;3;0
-1983.2034;257.0358;2000.0330;0.1379;0.0000;4;0
-1970.3079;342.9022;2000.0306;0.1724;0.0000;5;0
-1953.3944;429.5336;2000.0222;0.2069;0.0000;6;0
-1932.3024;516.5904;2000.0110;0.2414;0.0000;7;0
-1906.9260;603.7214;1999.9998;0.2759;0.0000;8;0
-1877.2109;690.5679;1999.9902;0.3103;0.0000;9;0
-1843.1514;776.7669;1999.9834;0.3448;0.0000;10;0
-1804.7870;861.9550;1999.9798;0.3793;0.0000;11;0
-1762.2000;945.7724;1999.9797;0.4138;0.0000;12;0
-1715.5117;1027.8661;1999.9825;0.4483;0.0000;13;0
-1664.8799;1107.8938;1999.9878;0.4828;0.0000;14;0
-1610.4956;1185.5276;1999.9946;0.5172;0.0000;15;0
-1552.5800;1260.4578;2000.0020;0.5517;0.0000;16;0
-1491.3814;1332.3964;2000.0090;0.5862;0.0000;17;0
-1427.1722;1401.0811;2000.0145;0.6207;0.0000;18;0
-1360.2458;1466.2785;2000.0178;0.6552;0.0000;19;0
-1290.9138;1527.7884;2000.0183;0.6897;0.0000;20;0
-1219.5023;1585.4468;2000.0156;0.7241;0.0000;21;0
-1146.3497;1639.1303;2000.0100;0.7586;0.0000;22;0
-1071.8030;1688.7594;2000.0021;0.7931;0.0000;23;0
-996.2149;1734.3022;1999.9931;0.8276;0.0000;24;0
-919.9409;1775.7783;1999.9849;0.8621;0.0000;25;0
-843.3361;1813.2622;1999.9801;0.8966;0.0000;26;0
-766.7524;1846.8874;1999.9823;0.9310;0.0000;27;0
-690.5349;1876.8495;1999.9960;0.9655;0.0000;28;0
-615.0195;1903.4106;2000.0265;1.0000;0.0000;29;0
-1999.8989;-72.5936;1920.4913;0.0000;0.0526;0;1
-2000.2733;7.1773;1919.2940;0.0345;0.0526;1;1
-1997.8782;88.8823;1918.1026;0.0690;0.0526;2;1
-1992.3043;172.2648;1916.9370;0.1034;0.0526;3;1
-1983.2090;257.0419;1915.8151;0.1379;0.0526;4;1
-1970.3134;342.9081;1914.7524;0.1724;0.0526;5;1
-1953.3996;429.5391;1913.7628;0.2069;0.0526;6;1
-1932.3070;516.5952;1912.8581;0.2414;0.0526;7;1
-1906.9299;603.7255;1912.0484;0.2759;0.0526;8;1
-1877.2141;690.5712;1911.3421;0.3103;0.0526;9;1
-1843.1538;776.7694;1910.7461;0.3448;0.0526;10;1
-1804.7887;861.9569;1910.2655;0.3793;0.0526;11;1
-1762.2011;945.7737;1909.9042;0.4138;0.0526;12;1
-1715.5123;1027.8670;1909.6647;0.4483;0.0526;13;1
-1664.8802;1107.8943;1909.5483;0.4828;0.0526;14;1
-1610.4958;1185.5280;1909.5552;0.5172;0.0526;15;1
-1552.5803;1260.4582;1909.6842;0.5517;0.0526;16;1
-1491.3819;1332.3970;1909.9335;0.5862;0.0526;17;1
-1427.1731;1401.0819;1910.3003;0.6207;0.0526;18;1
-1360.2473;1466.2798;1910.7808;0.6552;0.0526;19;1
-1290.9158;1527.7900;1911.3708;0.6897;0.0526;20;1
-1219.5051;1585.4489;1912.0652;0.7241;0.0526;21;1
-1146.3532;1639.1329;1912.8586;0.7586;0.0526;22;1
-1071.8070;1688.7624;1913.7449;0.7931;0.0526;23;1
-996.2194;1734.3054;1914.7179;0.8276;0.0526;24;1
-919.9456;1775.7815;1915.7710;0.8621;0.0526;25;1
-843.3408;1813.2652;1916.8974;0.8966;0.0526;26;1
-766.7566;1846.8896;1918.0903;0.9310;0.0526;27;1
-690.5380;1876.8505;1919.3428;0.9655;0.0526;28;1
-615.0208;1903.4099;1920.6482;1.0000;0.0526;29;1
-1999.8951;-72.5957;1841.1056;0.0000;0.1053;0;2
-2000.2720;7.1771;1838.6354;0.0345;0.1053;1;2
-1997.8787;88.8834;1836.2069;0.0690;0.1053;2;2
-1992.3059;172.2667;1833.8521;0.1034;0.1053;3;2
-1983.2111;257.0442;1831.6001;0.1379;0.1053;4;2
-1970.3157;342.9104;1829.4770;0.1724;0.1053;5;2
-1953.4016;429.5410;1827.5061;0.2069;0.1053;6;2
-1932.3086;516.5967;1825.7077;0.2414;0.1053;7;2
-1906.9309;603.7265;1824.0995;0.2759;0.1053;8;2
-1877.2144;690.5716;1822.6964;0.3103;0.1053;9;2
-1843.1535;776.7692;1821.5110;0.3448;0.1053;10;2
-1804.7878;861.9562;1820.5532;0.3793;0.1053;11;2
-1762.1997;945.7726;1819.8307;0.4138;0.1053;12;2
-1715.5105;1027.8654;1819.3488;0.4483;0.1053;13;2
-1664.8782;1107.8926;1819.1107;0.4828;0.1053;14;2
-1610.4937;1185.5262;1819.1174;0.5172;0.1053;15;2
-1552.5782;1260.4565;1819.3680;0.5517;0.1053;16;2
-1491.3801;1332.3955;1819.8597;0.5862;0.1053;17;2
-1427.1717;1401.0808;1820.5876;0.6207;0.1053;18;2
-1360.2464;1466.2790;1821.5453;0.6552;0.1053;19;2
-1290.9155;1527.7898;1822.7248;0.6897;0.1053;20;2
-1219.5054;1585.4492;1824.1162;0.7241;0.1053;21;2
-1146.3541;1639.1336;1825.7086;0.7586;0.1053;22;2
-1071.8085;1688.7635;1827.4892;0.7931;0.1053;23;2
-996.2213;1734.3068;1829.4443;0.8276;0.1053;24;2
-919.9476;1775.7829;1831.5588;0.8621;0.1053;25;2
-843.3426;1813.2662;1833.8164;0.8966;0.1053;26;2
-766.7577;1846.8900;1836.2001;0.9310;0.1053;27;2
-690.5379;1876.8497;1838.6915;0.9655;0.1053;28;2
-615.0188;1903.4072;1841.2718;1.0000;0.1053;29;2
-1999.8889;-72.6008;1761.7216;0.0000;0.1579;0;3
-2000.2685;7.1743;1757.9786;0.0345;0.1579;1;3
-1997.8772;88.8821;1754.3128;0.0690;0.1579;2;3
-1992.3056;172.2664;1750.7687;0.1034;0.1579;3;3
-1983.2116;257.0444;1747.3866;0.1379;0.1579;4;3
-1970.3164;342.9108;1744.2031;0.1724;0.1579;5;3
-1953.4023;429.5413;1741.2508;0.2069;0.1579;6;3
-1932.3089;516.5967;1738.5586;0.2414;0.1579;7;3
-1906.9308;603.7261;1736.1517;0.2759;0.1579;8;3
-1877.2137;690.5707;1734.0518;0.3103;0.1579;9;3
-1843.1522;776.7679;1732.2769;0.3448;0.1579;10;3
-1804.7860;861.9544;1730.8418;0.3793;0.1579;11;3
-1762.1974;945.7704;1729.7580;0.4138;0.1579;12;3
-1715.5079;1027.8630;1729.0336;0.4483;0.1579;13;3
-1664.8753;1107.8900;1728.6737;0.4828;0.1579;14;3
-1610.4908;1185.5236;1728.6803;0.5172;0.1579;15;3
-1552.5754;1260.4540;1729.0524;0.5517;0.1579;16;3
-1491.3775;1332.3933;1729.7863;0.5862;0.1579;17;3
-1427.1695;1401.0789;1730.8753;0.6207;0.1579;18;3
-1360.2446;1466.2776;1732.3102;0.6552;0.1579;19;3
-1290.9144;1527.7889;1734.0792;0.6897;0.1579;20;3
-1219.5049;1585.4488;1736.1677;0.7241;0.1579;21;3
-1146.3541;1639.1337;1738.5590;0.7586;0.1579;22;3
-1071.8090;1688.7640;1741.2339;0.7931;0.1579;23;3
-996.2220;1734.3075;1744.1711;0.8276;0.1579;24;3
-919.9484;1775.7836;1747.3470;0.8621;0.1579;25;3
-843.3431;1813.2667;1750.7360;0.8966;0.1579;26;3
-766.7574;1846.8897;1754.3105;0.9310;0.1579;27;3
-690.5363;1876.8482;1758.0411;0.9655;0.1579;28;3
-615.0152;1903.4038;1761.8964;1.0000;0.1579;29;3
-1999.8816;-72.6072;1682.3382;0.0000;0.2105;0;4
-2000.2642;7.1702;1677.3223;0.0345;0.2105;1;4
-1997.8749;88.8798;1672.4193;0.0690;0.2105;2;4
-1992.3048;172.2653;1667.6858;0.1034;0.2105;3;4
-1983.2115;257.0439;1663.1736;0.1379;0.2105;4;4
-1970.3167;342.9106;1658.9296;0.1724;0.2105;5;4
-1953.4026;429.5412;1654.9959;0.2069;0.2105;6;4
-1932.3091;516.5964;1651.4098;0.2414;0.2105;7;4
-1906.9305;603.7254;1648.2042;0.2759;0.2105;8;4
-1877.2130;690.5697;1645.4073;0.3103;0.2105;9;4
-1843.1509;776.7665;1643.0430;0.3448;0.2105;10;4
-1804.7843;861.9526;1641.1306;0.3793;0.2105;11;4
-1762.1952;945.7683;1639.6854;0.4138;0.2105;12;4
-1715.5054;1027.8607;1638.7184;0.4483;0.2105;13;4
-1664.8727;1107.8876;1638.2366;0.4828;0.2105;14;4
-1610.4880;1185.5212;1638.2430;0.5172;0.2105;15;4
-1552.5727;1260.4518;1638.7366;0.5517;0.2105;16;4
-1491.3751;1332.3913;1639.7127;0.5862;0.2105;17;4
-1427.1674;1401.0773;1641.1628;0.6207;0.2105;18;4
-1360.2431;1466.2764;1643.0749;0.6552;0.2105;19;4
-1290.9133;1527.7882;1645.4333;0.6897;0.2105;20;4
-1219.5044;1585.4486;1648.2188;0.7241;0.2105;21;4
-1146.3541;1639.1340;1651.4091;0.7586;0.2105;22;4
-1071.8094;1688.7646;1654.9784;0.7931;0.2105;23;4
-996.2227;1734.3084;1658.8977;0.8276;0.2105;24;4
-919.9491;1775.7845;1663.1351;0.8621;0.2105;25;4
-843.3433;1813.2672;1667.6555;0.8966;0.2105;26;4
-766.7568;1846.8894;1672.4210;0.9310;0.2105;27;4
-690.5343;1876.8467;1677.3908;0.9655;0.2105;28;4
-615.0111;1903.4004;1682.5213;1.0000;0.2105;29;4
-1999.8743;-72.6139;1602.9546;0.0000;0.2632;0;5
-2000.2599;7.1660;1596.6659;0.0345;0.2632;1;5
-1997.8728;88.8775;1590.5256;0.0690;0.2632;2;5
-1992.3041;172.2642;1584.6028;0.1034;0.2632;3;5
